Name,Commissioned,Status,Class,Type
HMS Queen Elizabeth,Dec-17,Active,Queen Elizabeth,Aircraft Carrier
HMS Prince of Wales,Dec-19,Active,Queen Elizabeth,Aircraft Carrier
Daring,Jul-09,Active,Destroyer,Type 45
Dauntless,Jun-10,Active,Destroyer,Type 45
Diamond,May-11,Active,Destroyer,Type 45
Dragon,Apr-12,Active,Destroyer,Type 45
Defender,Mar-13,Active,Destroyer,Type 45
Duncan,Sep-13,Active,Destroyer,Type 45
Hunter,Expected 2031,Ordered,Frigate,Type 26
Flinders,Expected 2031,Ordered,Frigate,Type 26
Tasman,Expected 2031,Ordered,Frigate,Type 26
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
